permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at
/company/1000memories,1000memories,http://1000memories.com,web,"2,535,000",acquired,USA,CA,SF Bay,San Francisco,2,7/1/10, 2010-07 ,2010-Q3,2010,1/1/10,2/16/11,7/4/13
/company/1000museums-com,1000museums.com,http://www.1000museums.com,web,"4,462,651",operating,USA,WA,Seattle,Bellevue,4,1/1/08, 2008-01 ,2008-Q1,2008,10/14/09,1/15/14,2/16/13
/company/1001-menus,1001 Menus,http://1001menus.com,web,"1,736,910",operating,FRA,,Paris,Paris,1,11/20/10, 2010-11 ,2010-Q4,2010,11/13/13,11/13/13,1/1/13
/company/100du-tv,100du.tv,http://www.100du.com,hospitality,"3,000,000",operating,,,unknown,,2,,,,,1/7/08,8/13/10,
/company/100e-com,100e.com,http://www.100e.com,education,"3,000,000",operating,CHN,,Beijing,Beijing,1,,,,,1/1/06,1/1/06,
/company/100plus,100Plus,http://www.100plus.com,analytics,"1,250,000",acquired,USA,CA,SF Bay,San Francisco,2,9/16/11, 2011-09 ,2011-Q3,2011,11/2/11,11/30/11,2/27/13
/company/1010data,1010data,http://www.1010data.com,software,"35,000,000",operating,USA,NY,New York,New York,1,1/1/00, 2000-01 ,2000-Q1,2000,3/8/10,3/8/10,1/1/12
/company/10alike,10alike,http://www.10alike.com/home#main,advertising,,operating,CAN,,Toronto,Toronto,1,3/3/12, 2012-03 ,2012-Q1,2012,1/1/13,1/1/13,1/17/13
/company/10bestthings,10BestThings,http://10bestthings.com,web,"50,000",closed,USA,OH,Cleveland,Cleveland,1,4/1/09, 2009-04 ,2009-Q2,2009,4/1/09,4/1/09,
/company/10seconds-software,10seconds Software,http://www.10secondsSoftware.com,software,"100,000",operating,AUS,,Sydney,Sydney,1,7/1/09, 2009-07 ,2009-Q3,2009,7/1/10,7/1/10,
/company/10x-technologies,10X Technologies,http://10xtechnologies.com,biotech,"3,000,000",operating,USA,CA,SF Bay,Oakland,1,1/1/12, 2012-01 ,2012-Q1,2012,11/7/12,11/7/12,
/company/10x10-room,10X10 Room,http://10x10room.com,software,"77,500",operating,USA,MA,Boston,Lexington,1,1/1/10, 2010-01 ,2010-Q1,2010,10/12/11,10/12/11,
/company/11i-solutions,11i Solutions,http://www.11isolutions.com,enterprise,"1,800,000",closed,USA,AL,Huntsville,Huntsville,1,,,,,3/22/11,3/22/11,
/company/121cast,121cast,http://www.121cast.com,mobile,"270,000",operating,AUS,,Melbourne,Melbourne,2,2/1/12, 2012-02 ,2012-Q1,2012,5/1/12,11/13/12,11/15/12
/company/121nexus,121nexus,http://www.121nexus.com,software,"794,000",operating,USA,RI,Providence,Providence,6,10/7/11, 2011-10 ,2011-Q4,2011,2/6/12,1/1/14,4/27/12
/company/1234enter,1234ENTER,http://www.1234enter.com.br,ecommerce,"650,267",operating,BRA,,Brazil - Other,,2,1/1/12, 2012-01 ,2012-Q1,2012,9/1/12,11/22/13,
/company/123contactform,123ContactForm,http://www.123contactform.com,ecommerce,,operating,ROM,,Timisoara,Timisoara,1,1/1/08, 2008-01 ,2008-Q1,2008,1/1/10,1/1/10,1/1/11
/company/123people,123people,http://123people.com,search,,acquired,AUT,,Vienna,Vienna,1,1/1/07, 2007-01 ,2007-Q1,2007,1/1/08,1/1/08,4/4/11
/company/1248,1248,http://1248.io/index.php?page=index,software,"378,813",operating,GBR,,London,Cambridge,1,1/1/13, 2013-01 ,2013-Q1,2013,3/18/14,3/18/14,
/company/12society,12Society,http://www.12Society.com,ecommerce,,acquired,USA,CA,Los Angeles,West Hollywood,1,1/1/12, 2012-01 ,2012-Q1,2012,4/5/12,4/5/12,7/3/13
/company/1366-technologies,1366 Technologies,http://www.1366tech.com,manufacturing,"66,450,000",operating,USA,MA,Boston,Bedford,8,1/1/07, 2007-01 ,2007-Q1,2007,3/27/08,12/12/13,6/17/11
/company/139shop,139shop,http://www.139shop.com,ecommerce,,operating,CHN,,China - Other,,1,,,,,2/1/07,2/1/07,
/company/13th-lab,13th Lab,http://13thlab.com,mobile,"700,000",operating,SWE,,Stockholm,Stockholm,1,1/1/10, 2010-01 ,2010-Q1,2010,6/15/12,6/15/12,6/1/12
/company/140-proof,140 Proof,http://140proof.com,advertising,"5,500,000",operating,USA,CA,SF Bay,San Francisco,2,1/11/10, 2010-01 ,2010-Q1,2010,7/1/09,4/28/11,1/24/13
/company/140fire,140Fire,http://140fire.com,advertising,"500,000",operating,USA,CA,Los Angeles,Santa Monica,1,1/1/10, 2010-01 ,2010-Q1,2010,5/5/10,5/5/10,2/24/11
/company/phoneuser-network,159.com,http://www.159.com,software,"6,204,822",operating,CHN,,China - Other,,2,,,,,2/1/08,3/1/11,
/company/15five,15Five,http://15five.com,software,"1,200,000",operating,USA,CA,SF Bay,San Francisco,2,5/1/11, 2011-05 ,2011-Q2,2011,1/1/12,1/15/13,9/19/13
/company/15minutesnow,15MinutesNOW,http://15minutesnow.com,games_video,"200,000",operating,,,unknown,,1,4/19/11, 2011-04 ,2011-Q2,2011,5/10/11,5/10/11,
/company/16-mile-solutions,16 Mile Solutions,,software,"199,957",operating,USA,WA,Seattle,Seattle,1,1/1/06, 2006-01 ,2006-Q1,2006,6/11/09,6/11/09,
/company/169-st,169 ST.,http://www.junebugreview.com,games_video,"50,000",closed,USA,FL,Orlando,Lake Mary,1,5/15/09, 2009-05 ,2009-Q2,2009,6/1/09,6/1/09,5/1/09
/company/170-systems,170 Systems,http://www.170systems.com,software,"14,000,000",acquired,USA,MA,Boston,Bedford,1,1/1/90, 1990-01 ,1990-Q1,1990,4/16/02,4/16/02,1/1/03
/company/17u-cn,17u.cn,http://www.17u.cn,travel,"84,691,914",operating,HKG,,Hong Kong - Other,,3,1/1/04, 2004-01 ,2004-Q1,2004,1/1/08,2/1/14,
/company/19pay,19pay,http://www.19pay.com.cn,finance,"9,477,280",operating,CHN,,Beijing,Beijing,3,1/1/05, 2005-01 ,2005-Q1,2005,1/1/06,7/1/13,
/company/1bib,1bib,http://www.1bib.com,web,,closed,CHN,,Guangzhou,Guangzhou,1,1/1/06, 2006-01 ,2006-Q1,2006,2/7/08,2/7/08,
/company/1c-company,1C Company,http://1c.ru/eng,software,"200,000,000",operating,RUS,,Moscow,Moscow,1,1/1/91, 1991-01 ,1991-Q1,1991,10/3/11,10/3/11,4/11/12
/company/1calendar,1calendar,http://1calendar.com,education,"40,000",operating,DNK,,DNK,Copenhagen,1,1/19/09, 2009-01 ,2009-Q1,2009,4/4/08,4/4/08,1/1/07
/company/1cast,1Cast,http://www.1cast.com,news,,closed,USA,WA,Seattle,Kirkland,1,6/1/06, 2006-06 ,2006-Q2,2006,8/12/08,8/12/08,6/1/09
/company/1click,1CLICK,http://1click.io,mobile,,operating,IND,,Bangalore,Bangalore,1,11/1/12, 2012-11 ,2012-Q4,2012,1/26/14,1/26/14,
/company/1cloudstar-asia,1CloudStar,http://www.1CloudStar.com,enterprise,,operating,SGP,,Singapore,Singapore,1,1/1/12, 2012-01 ,2012-Q1,2012,8/1/13,8/1/13,1/1/14
/company/1d4-pty,1d4 Pty,http://www.immortaloutdoors.com,,"40,000",operating,AUS,,Australia - Other,,1,,,,,4/11/12,4/11/12,
/company/1daylater,1DayLater,http://1daylater.com,web,"43,812",operating,,,unknown,,2,8/26/09, 2009-08 ,2009-Q3,2009,5/1/09,10/1/09,8/26/09
/company/1daymakeover,1DayMakeover,http://www.1daymakeover.com,ecommerce,"50,000",closed,USA,CA,Los Angeles,Santa Ana,1,6/30/08, 2008-06 ,2008-Q2,2008,6/30/08,6/30/08,
/company/1docway,1DocWay,http://1docway.com,other,,operating,USA,PA,Philadelphia,Philadelphia,1,2/1/11, 2011-02 ,2011-Q1,2011,8/10/11,8/10/11,
/company/1energy-systems,1Energy Systems,http://1energysystems.com,software,"1,450,000",operating,USA,WA,Seattle,Seattle,1,1/1/10, 2010-01 ,2010-Q1,2010,4/22/13,4/22/13,
/company/1eq,1eq,http://www.1eq.me,health,"1,300,000",operating,,,unknown,,2,1/1/12, 2012-01 ,2012-Q1,2012,7/1/12,12/23/13,6/5/13
/company/1jiajie,1jiajie,http://www.1jiajie.com,ecommerce,"162,364",operating,CHN,,Beijing,Beijing,1,,,,,9/1/13,9/1/13,
/company/1life-healthcare,1Life Healthcare,http://www.1life.com,,"30,000,000",operating,USA,CA,SF Bay,San Francisco,1,1/1/02, 2002-01 ,2002-Q1,2002,3/21/13,3/21/13,8/17/02
/company/1mind,1Mind,http://1mind.com,social,"500,000",operating,USA,NH,Hampton,Hampton,1,1/1/11, 2011-01 ,2011-Q1,2011,8/5/13,8/5/13,8/1/13
/company/1o1media,1o1Media,http://www.1o1media.com,photo_video,,operating,DEU,,Berlin,Berlin,1,1/1/12, 2012-01 ,2012-Q1,2012,10/1/13,10/1/13,2/1/09
/company/1ring,1Ring,http://www.1ring.com,web,,operating,,,unknown,,1,5/1/09, 2009-05 ,2009-Q2,2009,2/21/11,2/21/11,
/company/1rp-media,1RP Media,,,,operating,USA,CA,Los Angeles,Los Angeles,1,1/1/11, 2011-01 ,2011-Q1,2011,6/29/12,6/29/12,
/company/1sdk,1SDK,http://www.1sdk.com,mobile,"19,299",operating,DEU,,Berlin,Berlin,1,9/1/12, 2012-09 ,2012-Q3,2012,8/5/13,8/5/13,9/1/12
/company/1spire,1spire,http://bitmado.com,manufacturing,"30,000",operating,USA,TX,Houston,Houston,1,10/1/11, 2011-10 ,2011-Q4,2011,12/20/11,12/20/11,
/company/1stdibs,1stdibs,http://www.1stdibs.com,ecommerce,"57,000,000",operating,USA,NY,New York,New York,4,1/1/01, 2001-01 ,2001-Q1,2001,11/3/11,1/24/14,1/1/01
/company/1stgig-com,1stGig.com,http://www.1stgig.com,ecommerce,"750,000",operating,USA,WI,TBD,Saratoga Springs,1,8/1/09, 2009-08 ,2009-Q3,2009,10/1/12,10/1/12,10/5/14
/company/1world-online,1World Online,http://1worldonline.com,enterprise,"1,500,000",operating,USA,CA,SF Bay,San Jose,2,12/1/11, 2011-12 ,2011-Q4,2011,7/2/13,12/1/13,7/1/13
/company/2-minutes,2 Minutes,http://www.2minutes.fr,games_video,"1,660,000",operating,FRA,,Paris,Paris,1,10/1/00, 2000-10 ,2000-Q4,2000,6/19/08,6/19/08,
/company/20-20-gene-systems-inc,20/20 Gene Systems Inc.,http://2020gene.com,biotech,"150,000",operating,USA,MD,Washington DC,Rockville,1,5/1/00, 2000-05 ,2000-Q2,2000,9/25/12,9/25/12,
/company/2080-media,2080 Media,,news,"41,000,000",operating,USA,GA,Atlanta,Atlanta,5,1/1/08, 2008-01 ,2008-Q1,2008,8/5/10,7/19/13,
/company/20-20-mobile,20:20 Mobile,http://www.2020mobile.com,mobile,"29,750,000",operating,ARE,,TBD,Crewe,1,9/1/06, 2006-09 ,2006-Q3,2006,7/4/08,7/4/08,
/company/20lines,20lines,http://20lines.com,web,"436,454",operating,ITA,,Roncade,Roncade (TV),2,1/1/12, 2012-01 ,2012-Q1,2012,11/15/12,6/20/13,6/1/12
/company/20x200,20x200,http://www.20x200.com,ecommerce,"2,800,000",operating,USA,NY,New York,New York,2,9/1/07, 2007-09 ,2007-Q3,2007,10/1/09,8/1/10,10/1/12
/company/21cake-food-co,21Cake Food Co.,http://www.21cake.com,hospitality,"1,460,000",operating,CHN,,Beijing,Beijing,1,1/1/04, 2004-01 ,2004-Q1,2004,1/22/10,1/22/10,
/company/21e6,2.10E+07,,,"5,050,000",operating,USA,CA,SF Bay,San Francisco,1,1/1/13, 2013-01 ,2013-Q1,2013,11/17/13,11/17/13,
/company/21grams,21GRAMS,http://www.21grams.se,software,"2,580,000",operating,SWE,,Stockholm,STOCKHOLM,1,,,,,4/3/06,4/3/06,1/1/08
/company/21vianet,21viaNet,http://www.ch.21vianet.com,other,"100,000,000",ipo,CHN,,China - Other,,2,10/16/09, 2009-10 ,2009-Q4,2009,12/1/12,10/1/13,3/1/08
/company/22nd-century-group,22nd Century Group,http://www.xxiicentury.com,biotech,"4,984,750",ipo,USA,NY,Clarence,Clarence,4,1/1/98, 1998-01 ,1998-Q1,1998,12/28/10,11/16/12,7/24/13
/company/22seeds,22seeds,http://www.22seeds.com,software,"250,000",operating,ISR,,Tel Aviv,Tel Aviv,1,1/1/10, 2010-01 ,2010-Q1,2010,10/15/13,10/15/13,
/company/2345-com,2345.com,http://www.2345.com,software,"1,786,004",operating,CHN,,Shanghai,Shanghai,2,9/1/05, 2005-09 ,2005-Q3,2005,5/1/10,10/1/10,
/company/2359-media,2359 Media,http://www.2359media.com,mobile,"615,000",operating,SGP,,Singapore - Other,,1,2/1/09, 2009-02 ,2009-Q1,2009,1/11/11,1/11/11,
/company/23andme,23andMe,http://23andme.com,biotech,"110,549,900",operating,USA,CA,SF Bay,Mountain View,5,4/1/06, 2006-04 ,2006-Q2,2006,5/1/07,12/21/12,12/6/13
/company/23press,23press,http://www.23press.com,software,"50,000",operating,CAN,,Toronto,Toronto,1,6/1/11, 2011-06 ,2011-Q2,2011,8/15/11,8/15/11,8/1/11
/company/24-media-network,24 Media Network,http://nyheter24.se,news,"1,209,702",operating,SWE,,Stockholm,Stockholm,2,,,,,9/1/08,1/1/09,
/company/24-7-card,24/7 Card,http://www.247card.com,finance,"3,452,941",closed,USA,CA,Los Angeles,Los Angeles,3,,,,,10/25/10,12/21/11,
/company/247-techies,247 Techies,http://www.247techies.com,hardware,"600,000",operating,USA,NY,New York,New York,1,,,,,11/5/12,11/5/12,
/company/248-solidstate,248 SolidState,,other,"500,000",operating,USA,CA,Los Angeles,ROLLING HILLS ESTATES,1,1/1/07, 2007-01 ,2007-Q1,2007,7/23/09,7/23/09,
/company/24m-technologies,24M Technologies,http://24mtechnologies.com,cleantech,"16,000,000",operating,USA,,Boston,Cambridge,1,1/1/10, 2010-01 ,2010-Q1,2010,8/16/10,8/16/10,3/2/11
/company/24pagebooks,24PageBooks,http://24pagebooks.com,software,"50,000",closed,USA,NY,Rochester,Rochester,2,,,,,3/24/11,5/23/11,
/company/24symbols,24Symbols,http://www.24symbols.com,software,,operating,ESP,,Madrid,Madrid,1,8/7/10, 2010-08 ,2010-Q3,2010,10/20/10,10/20/10,5/9/13
/company/247-learning-private,24x7 Learning,http://www.24x7learning.com,education,"4,000,000",operating,IND,,Bangalore,Bangalore,1,1/1/01, 2001-01 ,2001-Q1,2001,11/6/07,11/6/07,1/1/11
/company/250ok,250ok,http://www.250ok.com,software,"200,000",operating,USA,IN,Indianapolis,Indianapolis,1,1/1/12, 2012-01 ,2012-Q1,2012,9/1/12,9/1/12,5/1/12
/company/25eight,25eight,http://25eightsoftware.com,software,"25,000",closed,,,unknown,,1,,,,,1/26/10,1/26/10,
/company/265-network,265 Network,http://www.265.com,software,"2,000,000",operating,CHN,,Beijing,Beijing,1,1/1/04, 2004-01 ,2004-Q1,2004,12/1/04,12/1/04,
/company/27-bards,27 bards,http://27bards.com,software,,operating,USA,CA,SF Bay,Stanford,1,1/1/11, 2011-01 ,2011-Q1,2011,11/6/12,11/6/12,
/company/27-perry,27 Perry,http://www.27perry.com,ecommerce,"118,000",closed,USA,CO,Denver,Boulder,1,7/25/12, 2012-07 ,2012-Q3,2012,5/17/12,5/17/12,7/25/12
/company/280-north,280 North,http://280north.com,software,"250,000",acquired,,,unknown,,2,,,,,1/1/08,3/1/08,8/24/10
/company/28msec,28msec,http://www.28msec.com,software,"5,844,811",operating,USA,CA,SF Bay,Palo Alto,1,1/1/08, 2008-01 ,2008-Q1,2008,10/28/13,10/28/13,9/1/12
/company/2adpro-media-solutions,2AdPro Media Solutions,http://www.2adpro.com,advertising,,operating,IND,,Banglaore,Banglaore,1,9/1/06, 2006-09 ,2006-Q3,2006,3/31/08,3/31/08,
/company/2c2p,2C2P,http://www.2c2p.com,software,"3,000,000",operating,SGP,,Singapore,Singapore,2,1/1/03, 2003-01 ,2003-Q1,2003,1/1/11,1/28/14,1/1/08
/company/2can,2can,http://2can.ru,mobile,"7,000,000",operating,RUS,,Moscow,Moscow,2,4/12/12, 2012-04 ,2012-Q2,2012,12/1/12,3/31/14,
/company/2catalyze,2Catalyze,,software,"6,785,876",operating,CAN,,Toronto,Toronto,1,1/1/08, 2008-01 ,2008-Q1,2008,8/25/10,8/25/10,
/company/2code-online,2CODE Online,http://www.2codeonline.com,software,,operating,,,unknown,,1,10/1/08, 2008-10 ,2008-Q4,2008,1/1/08,1/1/08,
/company/2crisk,2CRisk,http://www.2crisk.com.au,software,"383,000",operating,AUS,,SF Bay,Brisbane,2,7/1/10, 2010-07 ,2010-Q3,2010,4/1/10,10/10/12,1/1/12
/company/2d2c,2d2c,http://www.2d2c.com,hardware,"2,941,000",operating,USA,IL,Chicago,Lincolnshire,3,,,,,4/7/09,1/18/11,
/company/2degreesmobile,2degreesmobile,http://www.2degreesmobile.co.nz/home,mobile,"165,000,000",operating,NZL,,Auckland,Auckland,1,1/1/09, 2009-01 ,2009-Q1,2009,6/18/13,6/18/13,
/company/in-and-out-cash-management-software,2DOLife.com,http://2DOLife.com,software,"250,000",operating,USA,CA,SF Bay,San Pablo,1,12/1/11, 2011-12 ,2011-Q4,2011,11/10/13,11/10/13,12/1/11
/company/2duche,2Duche,http://www.2duche.com,ecommerce,,operating,CHN,,Shanghai,Shanghai,2,,,,,6/1/06,8/1/10,
/company/2go-software-solutions,2GO Mobile Solutions,http://www.2gosoftware.com,software,"275,000",operating,USA,TX,Dallas,Plano,1,1/1/08, 2008-01 ,2008-Q1,2008,4/9/10,4/9/10,8/1/09
/company/2houses,2houses,http://www.2houses.com,web,"856,845",operating,BEL,,Belgium - Other,,1,5/1/11, 2011-05 ,2011-Q2,2011,11/9/12,11/9/12,11/9/12
/company/2nd-story-software-inc,"2nd Story Software, Inc.",http://www.taxact.com,software,"85,000,000",acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,2/15/98, 1998-02 ,1998-Q1,1998,3/30/05,3/30/05,
/company/2nd-watch,2nd Watch,http://2ndwatch.com,enterprise,"27,644,420",operating,USA,WA,Seattle,Seattle,3,1/1/10, 2010-01 ,2010-Q1,2010,12/6/11,11/5/13,
/company/2ndnature,2NDNATURE,http://www.2ndnaturellc.com,,"20,000",operating,USA,CA,SF Bay,Santa Cruz,1,1/1/04, 2004-01 ,2004-Q1,2004,3/31/13,3/31/13,1/1/13
/company/2sms,2sms,http://2sms.com,messaging,"939,000",operating,USA,IL,Chicago,Schaumburg,1,,,,,11/1/07,11/1/07,
/company/2theloo,2theloo,http://www.2theloo.com,hospitality,,operating,NLD,,unknown,Kalverstraat 126,1,2/17/11, 2011-02 ,2011-Q1,2011,7/10/13,7/10/13,
/company/2threads,2threads,http://www.2threads.com,social,"300,000",operating,AUS,,Sydney,sydney,2,5/1/04, 2004-05 ,2004-Q2,2004,8/1/07,6/1/08,
/company/2u,2U,http://2U.com,education,"95,875,000",ipo,USA,MD,Washington DC,Landover,6,1/1/08, 2008-01 ,2008-Q1,2008,3/25/09,10/21/13,2/25/14
/company/2vancouver,2Vancouver,http://2vancouver.com,ecommerce,"80,000",operating,CAN,,Vancouver,Vancouver,1,1/25/12, 2012-01 ,2012-Q1,2012,6/1/11,6/1/11,
/company/2web-technologies,2Web Technologies,,software,,acquired,,,unknown,,1,,,,,12/1/01,12/1/01,
/company/2win-solutions,2Win-Solutions,http://www.TicTacDo.com,software,,closed,ISR,,Raanana,Raanana,1,,,,,1/1/08,1/1/08,
/company/3-day-blinds,3 day Blinds,http://www.3dayblinds.com,other,,acquired,USA,CA,Los Angeles,Irvine,1,1/1/84, 1984-01 ,1984-Q1,1984,3/13/98,3/13/98,6/6/06
/company/3-v-biosciences,3-V Biosciences,http://www.3vbio.com,biotech,"78,089,000",operating,USA,CA,SF Bay,Menlo Park,4,3/1/07, 2007-03 ,2007-Q1,2007,7/10/09,6/21/13,1/1/12
/company/30-second-showcase,30 Second Showcase,http://www.30secondshowcase.com,software,"25,000",operating,USA,NJ,New York,Clifton,1,4/1/13, 2013-04 ,2013-Q2,2013,5/20/13,5/20/13,5/20/13
/company/33across,33Across,http://www.33across.com,advertising,"25,654,560",operating,USA,NY,New York,New York,5,9/1/07, 2007-09 ,2007-Q3,2007,2/6/09,7/19/12,3/4/14
/company/360cities,360Cities,http://360cities.net,web,,operating,CZE,,Prague,Prague,1,1/1/07, 2007-01 ,2007-Q1,2007,12/1/07,12/1/07,11/23/11
/company/360guanxi,360Guanxi,http://www.360guanxi.com/index.html,news,"5,000,000",operating,CHN,,Shanghai,Shanghai,1,1/1/00, 2000-01 ,2000-Q1,2000,6/1/09,6/1/09,
/company/360incentives-com,360incentives.com,http://www.360incentives.com,software,"7,650,000",operating,CAN,,Whitby,Whitby,1,1/1/08, 2008-01 ,2008-Q1,2008,1/15/13,1/15/13,1/1/08
/company/360learning,360Learning,http://360learning.com/fr,education,"1,543,920",operating,FRA,,Paris,Paris,1,1/1/10, 2010-01 ,2010-Q1,2010,9/30/13,9/30/13,
/company/gazaro,360pi,http://www.360pi.com,software,"4,100,000",operating,CAN,,Ottawa,Ottawa,2,7/1/07, 2007-07 ,2007-Q3,2007,4/20/12,8/18/13,2/1/13
/company/360shop,360SHOP,http://www.360shop.com.cn,enterprise,"1,623,640",operating,CHN,,China - Other,,1,,,,,3/1/13,3/1/13,
/company/360t,360T,http://www.360t.com,finance,,operating,DEU,,Frankfurt,Frankfurt am Main,1,1/1/00, 2000-01 ,2000-Q1,2000,2/16/12,2/16/12,7/1/12
/company/365-retail-markets,365 Retail Markets,http://www.365retailmarkets.com,software,,operating,USA,MI,Detroit,Troy,1,8/1/09, 2009-08 ,2009-Q3,2009,2/11/14,2/11/14,4/1/12
/company/365scores,365Scores,http://biz.365scores.com,mobile,"1,200,000",operating,USA,,United States - Other,,1,,,,,1/28/13,1/28/13,
/company/365webcall,365webcall,http://www.365webcall.com,enterprise,,operating,CHN,,Hangzhou,Hangzhou,1,,,,,3/1/04,3/1/04,
/company/37signals,37signals,http://37signals.com,software,,operating,USA,IL,Chicago,Chicago,1,1/1/99, 1999-01 ,1999-Q1,1999,7/1/06,7/1/06,2/8/13
/company/382-communications,382 Communications,http://382com.com,mobile,"1,600,000",operating,USA,MA,Boston,Quincy,1,1/1/10, 2010-01 ,2010-Q1,2010,1/13/12,1/13/12,
/company/39-health,39 Health,http://corp.39.net,,"3,750,000",operating,,,unknown,,2,,,,,3/1/06,3/1/07,
/company/3baysover,3BaysOver,http://www.3baysover.com,travel,"375,000",operating,CHE,,Geneva,Geneva,1,8/1/11, 2011-08 ,2011-Q3,2011,8/1/11,8/1/11,6/1/11
/company/3c-plus,3C Plus,http://www.3cplusnow.com,software,"75,000",operating,BRA,,Curitiba,Curitiba,1,1/10/13, 2013-01 ,2013-Q1,2013,1/10/13,1/10/13,
/company/3ci,3CI,http://www.3ci.bz.it/en-US/Products.html,biotech,"133,620",operating,ITA,,Bolzano,Bolzano,1,1/1/08, 2008-01 ,2008-Q1,2008,1/1/11,1/1/11,
/company/3clickemr-corporation,3ClickEMR Corporation,http://www.3clickemr.com,software,"500,000",closed,USA,MA,Boston,West Roxbury,2,6/23/10, 2010-06 ,2010-Q2,2010,6/23/10,6/1/11,6/23/10
/company/3clogic,3CLogic,http://www.3clogic.com,software,"5,740,000",operating,USA,MD,Washington DC,Rockville,2,1/1/07, 2007-01 ,2007-Q1,2007,1/14/13,3/4/14,
/company/3d-biomatrix,3D Biomatrix,http://3dbiomatrix.com,biotech,"1,465,000",operating,USA,MI,Detroit,Ann Arbor,1,1/1/10, 2010-01 ,2010-Q1,2010,2/5/13,2/5/13,
/company/3d-eye-solutions,3D Eye Solutions,http://www.3deyesolutions.com,,"380,000",operating,USA,FL,Orlando,Longwood,2,,,,,8/11/08,4/6/10,
/company/3d-future-vision-ii,3D FUTURE VISION II,http://www.3dfuturevision.com,games_video,"503,000",closed,USA,FL,Orlando,LONGWOOD,2,1/1/11, 2011-01 ,2011-Q1,2011,6/22/11,3/21/13,
/company/3d-hubs,3D Hubs,http://www.3dhubs.com,web,,operating,NLD,,Amsterdam,Amsterdam,1,4/1/13, 2013-04 ,2013-Q2,2013,8/27/13,8/27/13,
/company/3d-industri-es,3D Industri.es,http://www.3dindustri.es,web,"1,200,000",operating,USA,OH,Cincinnati,Cincinnati,2,1/1/11, 2011-01 ,2011-Q1,2011,3/1/12,3/1/13,
