permalink,name,homepage_url,category_code, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_at, founded_month ,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,overview,tag_list,image1,image2,image3,number_of_employees,office_latitude,office_longitude
/company/the-honest-company,The Honest Company,http://www.honest.com,ecommerce,"52,000,000",operating,USA,CA,Los Angeles,Santa Monica,2,12/31/06, 2011-01 ,2011-Q1,2011,3/22/08,11/10/09,11/10/09,,,,,,,,
/company/huffingtonpost,The Huffington Post,http://www.huffingtonpost.com,news,"37,000,000",acquired,USA,NY,New York,New York,5,5/8/01, 2005-05 ,2005-Q2,2005,4/30/01,7/31/06,10/31/08,,,,,,,,
/company/the-hunt,The Hunt,http://www.thehunt.com,ecommerce,"6,200,000",operating,USA,CA,California - Other,,2,12/31/08, 2013-01 ,2013-Q1,2013,4/16/09,11/23/09,11/20/09,,,,,,,,
/company/the-hut-group,The Hut Group,http://www.thehutgroup.com,fashion,"21,612,355",operating,GBR,,Cheshire,Cheshire,1,12/31/99, 2004-01 ,2004-Q1,2004,4/14/06,4/14/06,12/31/05,,,,,,,,
/company/the-iconic,THE ICONIC,http://theiconic.com.au,fashion,"72,000,000",operating,AUS,,Sydney,Surry Hills,2,8/31/07, 2011-09 ,2011-Q3,2011,12/31/07,7/9/09,12/2/09,,,,,,,,
/company/idealists,The Idealists,http://theidealists.com,advertising,"1,700,000",operating,USA,CA,Los Angeles,Los Angeles,1,12/31/05, 2010-01 ,2010-Q1,2010,7/7/09,7/7/09,6/4/09,,,,,,,,
/company/the-industrys-alternative,The Industry's Alternative,http://www.inustrysalternative.com,music,"7,000",operating,USA,NJ,New York,Montclair,1,11/14/05, 2009-11 ,2009-Q4,2009,3/30/07,3/30/07,11/10/05,,,,,,,,
/company/the-influence,The Influence,http://www.theinfluence.co,advertising,"80,000",operating,GTM,,Guatemala,Guatemala,1,10/14/09, 2013-10 ,2013-Q4,2013,10/14/09,10/14/09,10/14/10,,,,,,,,
/company/the-influence-marketplace,The Influence Marketplace,http://www.theinfluence.co,advertising,"80,000",operating,GTM,,Guatemala,Guatemala,1,9/30/09, 2013-10 ,2013-Q4,2013,12/31/08,12/31/08,10/14/09,,,,,,,,
/company/the-innovation-arb,The Innovation Arb,http://innovationarb.com,social,"40,000",operating,CHL,,Santiago,Santiago,1,12/31/08, 2013-01 ,2013-Q1,2013,8/21/09,8/21/09,,,,,,,,,
/company/the-innovation-factory,The Innovation Factory,http://if-chicago.com,web,"250,000",operating,USA,IL,Chicago,Chicago,1,5/31/08, 2012-06 ,2012-Q2,2012,3/30/09,3/30/09,5/19/09,,,,,,,,
/company/the-interest-network,The Interest Network,http://intrst.net,web,"151,525",operating,,,unknown,,2,1/14/09, 2013-01 ,2013-Q1,2013,1/14/09,5/31/09,,,,,,,,,
/company/the-iq-collective,The IQ Collective,http://www.theiqcollective.com,education,"40,000",operating,USA,CA,SF Bay,San Francisco,1,,,,,8/21/09,8/21/09,,,,,,,,,
/company/the-ivory-company,The Ivory Company,http://www.theivorycompany.com,ecommerce,"525,000",operating,USA,NY,Salamanca,Salamanca,1,,,,,2/18/09,2/18/09,,,,,,,,,
/company/the-jackson-laboratory,The Jackson Laboratory,http://www.jax.org,biotech,"58,429,933",operating,USA,ME,Bar Harbor,Bar Harbor,2,,,,,4/12/07,9/29/07,12/31/90,,,,,,,,
/company/the-jacksonville-bank,The Jacksonville Bank,http://www.jaxbank.com,finance,"4,000,000",operating,USA,FL,Jacksonville,Jacksonville,1,12/31/92, 1997-01 ,1997-Q1,1997,10/6/09,10/6/09,,,,,,,,,
/company/the-jetstream,The Jetstream,http://www.thejetstream.com,social,"30,000,000",operating,,,unknown,,1,,,,,1/17/08,1/17/08,,,,,,,,,
/company/the-kendal-group,The Kendal Group,http://www.thekendalgroup.com,,"2,652,725",operating,GBR,,London,Surrey,1,,,,,10/31/01,10/31/01,,,,,,,,,
/company/the-kernel,The Kernel,http://www.kernelmag.com,news,"30,000",acquired,GBR,,London,London,1,12/18/07, 2011-12 ,2011-Q4,2011,3/4/08,3/4/08,7/31/09,,,,,,,,
/company/the-key-revolution,The Key Revolution,http://www.thekeyrevolution.com,security,"2,460,000",operating,GBR,,Newbury,Newbury,1,,,,,6/25/04,6/25/04,,,,,,,,,
/company/artkive,The Kive Company,http://www.artkiveapp.com,web,"775,000",operating,USA,CA,Los Angeles,Encino,2,12/31/07, 2012-01 ,2012-Q1,2012,11/15/08,2/18/10,5/21/09,,,,,,,,
/company/the-knowland-group,The Knowland Group,http://knowland.com,travel,,operating,USA,DC,Washington DC,Washington,1,10/17/00, 2004-10 ,2004-Q4,2004,10/31/08,10/31/08,,,,,,,,,
/company/lab-miami,The LAB Miami,http://www.thelabmiami.com,other,"500,000",operating,USA,FL,Miami,Miami,1,5/3/07, 2011-05 ,2011-Q2,2011,8/31/08,8/31/08,5/3/07,,,,,,,,
/company/the-label-corp,The Label Corp,http://afaqs.com,ecommerce,,operating,USA,,unknown,Noida,1,12/31/94, 1999-01 ,1999-Q1,1999,8/20/09,8/20/09,,,,,,,,,
/company/the-lacrosse-group,The LaCrosse Group,,hospitality,"50,000",operating,,,unknown,,1,,,,,8/29/09,8/29/09,,,,,,,,,
/company/the-language-express,The Language Express,http://www.thesocialexpress.com,education,"750,000",operating,USA,CA,San Diego,Encinitas,1,12/31/03, 2008-01 ,2008-Q1,2008,5/2/08,5/2/08,,,,,,,,,
/company/the-learning-lab,The Learning Lab,http://www.thelearninglab.co.uk,education,"454,575",operating,GBR,,unknown,Ayr,1,,,,,7/28/09,7/28/09,,,,,,,,,
/company/the-library,The Library,http://www.thelibrarysys.com,games_video,"472,617",operating,SWE,,Stockholm,Stockholm,1,1/31/04, 2008-02 ,2008-Q1,2008,1/31/04,1/31/04,3/31/05,,,,,,,,
/company/the-lions,The Lions,http://www.OnlyLions.com,consulting,"250,000",operating,USA,CA,SF Bay,San Francisco,1,3/31/06, 2010-04 ,2010-Q2,2010,3/31/07,3/31/07,6/30/08,,,,,,,,
/company/the-little-blue-book-mobile,The Little Blue Book Mobile,http://thelittlebluebook.com,other,"10,000,000",operating,USA,CT,New York,Darien,1,12/31/82, 1987-01 ,1987-Q1,1987,12/6/06,12/6/06,,,,,,,,,
/company/the-loadown,The Loadown,http://www.theloadown.com,mobile,"100,000",operating,USA,NY,New York,New York City,1,12/31/08, 2013-01 ,2013-Q1,2013,9/16/09,9/16/09,3/24/10,,,,,,,,
/company/the-local,The Local,http://www.thelocal.com,news,"3,933,515",operating,SWE,,Stockholm,Stockholm,3,3/31/00, 2004-04 ,2004-Q2,2004,9/30/03,3/31/07,5/31/00,,,,,,,,
/company/the-logo-company,The Logo Company,http://thelogocompany.net,design,"500,000",operating,USA,NY,Brookly,Brookly,1,12/31/95, 2000-01 ,2000-Q1,2000,9/24/08,9/24/08,9/24/08,,,,,,,,
/company/the-london-distillery-company,The London Distillery Company,http://www.thelondondistillerycompany.com,hospitality,"397,390",operating,GBR,,London,London,1,,,,,3/25/08,3/25/08,,,,,,,,,
/company/luxe-nomad,The Luxe Nomad,http://www.theluxenomad.com,travel,"698,000",operating,SGP,,Singapore,Singapore,2,8/30/07, 2011-08 ,2011-Q3,2011,6/12/08,8/15/09,6/12/08,,,,,,,,
